
2022/10/18 (16:26:20) | ===> btop++ v.1.2.6
2022/10/18 (16:26:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/18 (16:26:43) | ===> btop++ v.1.2.6
2022/10/18 (16:26:43) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/18 (16:26:47) | ===> btop++ v.1.2.6
2022/10/18 (16:26:47) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/18 (16:32:18) | ===> btop++ v.1.2.6
2022/10/18 (16:32:18) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/18 (16:32:36) | ===> btop++ v.1.2.6
2022/10/18 (16:32:36) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/18 (16:32:52) | ===> btop++ v.1.2.6
2022/10/18 (16:32:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/18 (16:33:04) | ===> btop++ v.1.2.6
2022/10/18 (16:33:04) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/18 (17:08:27) | ===> btop++ v.1.2.6
2022/10/18 (17:08:27) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/19 (14:29:59) | ===> btop++ v.1.2.6
2022/10/19 (14:29:59) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/19 (14:30:30) | ===> btop++ v.1.2.6
2022/10/19 (14:30:30) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/10/19 (15:55:01) | ===> btop++ v.1.2.6
2022/10/19 (15:55:01) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
